year,month,kwh,solar-kwh,utility-kwh,bill,savings,zip-code
2017,1,1500,0,1500,205.55,0,02130
2017,2,1350,0,1350,184.99,0,02130
2017,3,1150,0,1150,157.58,0,02130
2017,4,1000,150,850,124.04,12.99,02130
2017,5,1500,350,1150,144.04,19.81,02130
2017,6,730,350,380,94.14,2.99,02130
2017,7,500,400,100,70.04,1.32,02130
2017,8,1200,550,650,89.07,7.26,02130
2017,9,900,650,250,34.26,8.58,02119
2017,10,1118,580,538,73.72,7.66,02119
2017,11,1098,400,698,95.65,5.28,02119
2017,12,987,200,787,107.84,2.64,02119
2018,1,1358,288,1070,146.62,3.80,02119
2018,2,1409,209,1200,164.44,2.76,02119
